Date,AAPL,AMZN,MSFT,NFLX
2016-01-21,93.046417,575.02002,48.300083,102.349998
2016-01-22,97.993423,596.380005,50.031921,100.720001
2016-01-25,96.080322,596.530029,49.553509,99.120003
2016-01-26,96.61174,601.25,49.917099,97.830002
2016-01-27,90.263725,583.349976,49.008129,91.150002
2016-01-28,90.911087,635.349976,49.811855,94.410004
2016-01-29,94.05127,587.0,52.711006,91.839996
2016-02-01,93.172028,574.809998,52.347412,94.089996
2016-02-02,91.28791,552.099976,50.711258,91.489998
2016-02-03,93.094734,531.070007,49.907536,90.739998
2016-02-04,93.842743,536.26001,49.754448,89.709999
2016-02-05,91.336388,502.130005,47.993904,82.790001
2016-02-08,92.298134,488.100006,47.276287,83.32
2016-02-09,92.278694,482.070007,47.151901,86.129997
2016-02-10,91.579254,490.480011,47.563332,88.449997
2016-02-11,91.025528,503.820007,47.544201,86.349998
2016-02-12,91.307251,507.079987,48.319218,87.400002
2016-02-16,93.881607,521.099976,49.234718,89.050003
2016-02-17,95.319359,534.099976,50.516418,94.760002
2016-02-18,93.512459,525.0,50.294781,90.489998
2016-02-19,93.298737,534.900024,49.938213,89.230003
2016-02-22,94.114754,559.5,50.738071,91.93
2016-02-23,91.987267,552.940002,49.321453,89.120003
2016-02-24,93.357018,554.039978,49.494919,91.610001
2016-02-25,93.998184,555.150024,50.208042,94.529999
2016-02-26,94.143906,555.22998,49.437096,94.790001
2016-02-29,93.930183,552.52002,49.032349,93.410004
2016-03-01,97.660561,579.039978,50.670616,98.300003
2016-03-02,97.874298,580.210022,51.027176,97.610001
2016-03-03,98.602882,577.48999,50.448967,97.93
2016-03-04,100.069786,575.140015,50.140583,101.580002
2016-03-07,98.962318,562.799988,49.176895,95.489998
2016-03-08,98.146294,560.26001,49.774391,96.230003
2016-03-09,98.233734,559.469971,50.921169,98.0
2016-03-10,98.282295,558.929993,50.159859,97.360001
2016-03-11,99.341187,569.609985,51.142818,97.660004
2016-03-14,99.593773,573.369995,51.239185,98.129997
2016-03-15,101.594978,577.02002,51.643936,97.860001
2016-03-16,102.945305,574.27002,52.376339,99.349998
2016-03-17,102.780144,559.440002,52.675079,99.720001
2016-03-18,102.896729,552.080017,51.547573,101.120003
2016-03-21,102.887009,553.97998,51.904137,101.059998
2016-03-22,103.673882,560.47998,52.106506,99.839996
2016-03-23,103.100731,569.630005,52.010139,99.589996
2016-03-24,102.653854,582.950012,52.241425,98.360001
2016-03-28,102.187561,579.869995,51.595753,101.209999
2016-03-29,104.606491,593.859985,52.723263,104.129997
2016-03-30,106.432831,598.690002,53.050919,102.190002
2016-03-31,105.879097,593.640015,53.224377,102.230003
