Date,AAPL,CSCO,MSFT,PCLN
2015-08-11,109.188248,25.935019,43.819569,1307.869995
2015-08-12,110.871918,25.823954,44.131153,1294.709961
2015-08-13,110.785339,26.564426,44.121716,1285.469971
2015-08-14,111.564629,26.869869,44.37664,1283.800049
2015-08-17,112.719162,26.68475,44.67878,1306.560059
2015-08-18,112.084152,26.147909,44.925888,1291.829956
2015-08-19,110.650642,25.731392,44.298618,1291.349976
2015-08-20,108.380096,25.027948,43.395733,1257.540039
2015-08-21,101.751259,24.50036,40.934166,1216.920044
2015-08-24,99.211334,23.315605,39.613098,1174.119995
2015-08-25,99.807816,22.788019,38.463104,1178.810059
2015-08-26,105.532295,23.76914,40.592014,1223.459961
2015-08-27,108.639862,24.222683,41.723003,1252.01001
2015-08-28,108.995834,24.065332,41.751518,1259.390015
2015-08-31,108.485931,23.95426,41.361858,1248.640015
2015-09-01,103.636963,23.250814,39.746147,1215.359985
2015-09-02,108.081833,23.741375,41.209785,1242.869995
2015-09-03,106.186516,23.972771,41.342838,1240.369995
2015-09-04,105.128212,23.62105,40.496979,1245.25
2015-09-08,108.052979,24.343008,41.713501,1280.400024
2015-09-09,105.974854,24.009796,40.934166,1276.719971
2015-09-10,108.303116,24.305986,41.143253,1287.73999
2015-09-11,109.880959,24.083843,41.32383,1290.410034
2015-09-14,110.939262,23.787655,40.905655,1286.829956
2015-09-15,111.872498,24.046818,41.799038,1318.800049
2015-09-16,111.997581,24.130121,42.103172,1320.47998
2015-09-17,109.601952,23.95426,42.055649,1318.0
2015-09-18,109.149773,23.639565,41.32383,1294.469971
2015-09-21,110.843056,23.639565,41.922592,1307.47998
2015-09-22,109.101662,23.269323,41.723003,1288.949951
2015-09-23,109.986801,23.398909,41.694489,1275.98999
2015-09-24,110.641022,23.519234,41.73251,1281.130005
2015-09-25,110.362015,24.0931,41.761021,1252.76001
2015-09-28,108.178062,23.750631,41.143253,1199.140015
2015-09-29,104.926178,23.732121,41.285816,1200.319946
2015-09-30,106.119179,24.29673,42.065155,1236.859985
2015-10-01,105.42646,24.007484,42.397797,1247.079956
2015-10-02,106.196136,24.035475,43.310192,1265.680054
2015-10-05,106.580978,25.052505,44.317627,1274.859985
2015-10-06,107.090881,25.407064,44.431675,1275.449951
2015-10-07,106.580978,25.696312,44.479198,1291.579956
2015-10-08,105.349495,26.04154,45.096962,1304.319946
2015-10-09,107.870178,26.04154,44.773827,1313.290039
2015-10-12,107.369888,26.08819,44.669281,1347.189941
2015-10-13,107.552696,25.985556,44.564732,1345.0
2015-10-14,106.032578,25.957565,44.365143,1311.079956
2015-10-15,107.620049,26.265474,44.67878,1327.290039
2015-10-16,106.831116,26.35878,45.153984,1336.569946
2015-10-19,107.494957,26.35878,45.25853,1376.130005
2015-10-20,109.457634,26.592043,45.401089,1372.51001
2015-10-21,109.448021,26.386774,44.85936,1364.290039
2015-10-22,111.122078,27.067902,45.648201,1354.469971
2015-10-23,114.566376,27.385139,50.248184,1366.48999
2015-10-26,110.910416,27.011917,51.55975,1416.319946
2015-10-27,110.208076,27.105223,51.027523,1403.280029
2015-10-28,114.749161,27.394468,51.303135,1404.52002
2015-10-29,115.961411,27.189198,50.71389,1425.650024
2015-10-30,114.970459,26.91861,50.029591,1454.23999
2015-11-02,116.586769,26.843967,50.599834,1467.189941
2015-11-03,117.924095,26.694677,51.46471,1464.900024
2015-11-04,117.375694,26.564051,51.702312,1469.560059
2015-11-05,116.834602,26.526731,51.683304,1462.640015
2015-11-06,116.969872,26.545391,52.196522,1449.900024
2015-11-09,116.496429,26.293465,51.474209,1311.150024
2015-11-10,112.824814,26.106853,50.856441,1323.540039
2015-11-11,112.187119,25.957565,50.989502,1329.579956
2015-11-12,111.810295,25.966894,50.675869,1314.01001
2015-11-13,108.544479,24.455347,50.219673,1297.75
2015-11-16,110.322327,24.996519,51.103554,1266.869995
2015-11-17,109.848885,25.015179,50.682556,1258.790039
2015-11-18,113.327248,25.304428,51.524551,1278.5
2015-11-19,114.766914,25.537691,51.610664,1284.650024
2015-11-20,115.269348,25.724302,51.849869,1281.530029
2015-11-23,113.771706,25.593674,51.849869,1264.319946
2015-11-24,114.863525,25.444387,51.907284,1240.180054
2015-11-25,114.042252,25.416395,51.37146,1245.75
2015-11-27,113.829681,25.491041,51.601093,1244.98999
2015-11-30,114.303123,25.425726,52.00296,1248.849976
2015-12-01,113.375557,25.724302,52.835396,1282.5
2015-12-02,112.351372,25.603004,52.825821,1275.439941
2015-12-03,111.307861,25.145811,51.85944,1280.079956
2015-12-04,115.008461,25.640326,53.495594,1300.47998
2015-12-07,114.283798,25.649658,53.399914,1302.420044
2015-12-08,114.235489,25.332418,53.380775,1303.969971
2015-12-09,111.713676,24.940535,52.605755,1294.98999
2015-12-10,112.245087,24.977858,52.883236,1306.5
2015-12-11,109.356125,24.408695,51.725483,1285.329956
2015-12-14,108.679771,24.716602,52.758842,1297.880005
2015-12-15,106.756989,25.052505,52.816257,1323.72998
2015-12-16,107.57827,25.416395,53.706093,1332.310059
2015-12-17,105.298019,24.931206,53.294666,1313.73999
2015-12-18,102.44767,24.51133,51.792465,1285.670044
2015-12-21,103.703766,24.856562,52.462234,1275.709961
2015-12-22,103.607155,25.089825,52.959778,1277.48999
2015-12-23,104.940506,25.565683,53.409485,1279.050049
2015-12-24,104.380112,25.547018,53.265953,1273.069946
2015-12-28,103.210999,25.481707,53.533871,1272.959961
2015-12-29,105.066116,25.910912,54.107956,1302.400024
2015-12-30,103.694107,25.686979,53.878323,1289.160034
2015-12-31,101.703697,25.341749,53.084164,1274.949951
2016-01-04,101.790649,24.833977,52.433533,1245.369995
2016-01-05,99.239845,24.721138,52.672737,1210.689941
2016-01-06,97.29776,24.457848,51.715916,1196.709961
2016-01-07,93.191338,23.89365,49.917099,1167.189941
2016-01-08,93.68412,23.301247,50.070198,1136.959961
2016-01-11,95.201073,23.762003,50.041489,1136.280029
2016-01-12,96.582756,23.837233,50.500759,1148.920044
2016-01-13,94.099594,23.131989,49.409988,1098.900024
2016-01-14,96.157608,23.188408,50.816513,1121.380005
2016-01-15,93.848373,22.210468,48.788059,1086.73999
2016-01-19,93.394257,22.426744,48.376629,1094.5
2016-01-20,93.519867,21.533436,48.596699,1081.329956
2016-01-21,93.046417,21.533436,48.300083,1089.140015
2016-01-22,97.993423,21.975389,50.031921,1118.109985
2016-01-25,96.080322,21.787325,49.553509,1097.930054
2016-01-26,96.61174,22.304501,49.917099,1111.540039
2016-01-27,90.263725,22.031807,49.008129,1043.699951
2016-01-28,90.911087,21.730904,49.811855,1043.130005
2016-01-29,94.05127,22.370323,52.711006,1064.969971
2016-02-01,93.172028,22.078825,52.347412,1084.869995
2016-02-02,91.28791,21.467613,50.711258,1066.790039
