Date,KO,MSFT,PCLN,PEP
2016-09-20,40.952168,55.473537,1449.0,103.361359
2016-09-21,41.135941,56.401176,1464.0,104.168404
2016-09-22,41.551846,56.45977,1465.869995,104.83934
2016-09-23,41.339054,56.078945,1456.76001,104.372604
2016-09-26,40.671677,55.561417,1447.150024,104.071167
2016-09-27,41.193974,56.586712,1453.48999,104.518456
2016-09-28,40.768394,56.664833,1458.030029,104.411499
2016-09-29,40.652325,56.049652,1472.97998,104.780991
2016-09-30,40.932819,56.244946,1471.48999,105.763062
2016-10-03,40.652325,56.069183,1486.719971,105.257446
2016-10-04,40.468555,55.893414,1489.02002,104.139236
2016-10-05,40.439537,56.284008,1497.579956,103.079376
2016-10-06,40.342819,56.38166,1490.439941,103.458588
2016-10-07,40.362164,56.440243,1479.819946,103.059921
2016-10-10,40.362164,56.674595,1475.180054,103.283569
2016-10-11,40.178387,55.844593,1459.02002,102.651527
2016-10-12,40.410526,55.766476,1454.839966,103.147438
2016-10-13,40.391178,55.58094,1442.52002,102.991859
2016-10-14,40.304131,56.069183,1439.569946,103.876709
2016-10-17,40.23642,55.87389,1437.650024,103.896149
2016-10-18,40.594292,56.303535,1454.969971,103.993385
2016-10-19,40.671677,56.176594,1469.199951,103.322464
2016-10-20,40.555603,55.903187,1468.290039,102.943253
2016-10-21,40.749054,58.256485,1467.390015,102.700157
2016-10-24,41.164959,59.564964,1471.800049,104.343437
2016-10-25,41.145611,59.555199,1479.030029,104.265656
2016-10-26,41.048885,59.203667,1469.160034,104.110077
2016-10-27,40.739376,58.686134,1463.02002,103.682228
2016-10-28,40.845772,58.461548,1474.819946,104.110077
2016-10-31,41.010204,58.510365,1474.22998,104.236465
2016-11-01,40.739376,58.393192,1467.0,103.760017
2016-11-02,40.671677,58.031898,1445.329956,103.760017
2016-11-03,40.652325,57.81707,1438.099976,103.682228
2016-11-04,40.323471,57.328835,1424.280029,102.884888
2016-11-07,41.068233,58.998608,1480.329956,104.003105
2016-11-08,41.474472,59.047428,1578.130005,105.714447
2016-11-09,40.88446,58.754486,1570.26001,104.285088
2016-11-10,39.598057,57.319069,1554.319946,100.395668
2016-11-11,39.685104,57.631542,1540.650024,100.337334
2016-11-14,39.820515,56.752712,1489.180054,98.58709
2016-11-15,40.081669,57.873413,1497.449951,99.03437
2016-11-16,39.907566,58.640213,1503.22998,98.898247
2016-11-17,39.772156,59.613453,1512.900024,98.81073
2016-11-18,39.569038,59.328362,1507.349976,98.5093
2016-11-21,40.004292,59.829727,1524.180054,99.433037
2016-11-22,40.013962,60.085323,1535.420044,100.045624
2016-11-23,39.772156,59.377514,1520.98999,98.723221
2016-11-25,40.168713,59.50531,1521.680054,99.345528
2016-11-28,40.381508,59.583958,1525.069946,99.948395
2016-11-29,40.137657,60.055836,1520.27002,99.705307
2016-11-30,39.357338,59.239883,1503.680054,98.052795
2016-12-01,39.181767,58.197826,1479.660034,97.004684
2016-12-02,39.367092,58.246979,1473.0,98.542572
2016-12-05,39.620693,59.200565,1499.76001,98.650322
2016-12-06,39.571922,58.935135,1504.819946,99.473145
2016-12-07,40.274212,60.331097,1527.040039,100.707382
2016-12-08,39.97184,59.977184,1548.670044,100.060883
2016-12-09,40.966747,60.92094,1557.97998,101.451836
2016-12-12,40.869205,61.11755,1536.780029,102.578316
2016-12-13,40.732647,61.913837,1540.109985,103.469696
2016-12-14,40.196182,61.618916,1528.449951,102.33342
2016-12-15,40.527817,61.520611,1501.199951,103.146446
2016-12-16,40.713146,61.24535,1484.280029,103.704796
2016-12-19,40.644863,62.543003,1488.829956,103.254211
2016-12-20,40.635105,62.464359,1502.25,102.754639
2016-12-21,40.547321,62.464359,1505.76001,102.558723
2016-12-22,40.527817,62.474186,1481.339966,103.195435
2016-12-23,40.57658,62.169441,1486.199951,102.940742
2016-12-27,40.586338,62.208755,1493.420044,102.979919
2016-12-28,40.371754,61.923668,1480.459961,102.480354
2016-12-29,40.57658,61.835197,1480.160034,102.842796
2016-12-30,40.440025,61.088055,1466.060059,102.490143
2017-01-03,40.771664,61.520611,1477.569946,102.50975
2017-01-04,40.625355,61.24535,1487.290039,102.705658
2017-01-05,40.722893,61.24535,1503.699951,102.56852
2017-01-06,40.713146,61.776207,1520.569946,102.421585
2017-01-09,40.303471,61.579594,1529.640015,101.344086
2017-01-10,40.030361,61.559933,1535.25,99.884552
2017-01-11,40.040115,62.120285,1536.109985,99.727829
2017-01-12,39.942577,61.550102,1538.589966,99.75721
2017-01-13,39.874298,61.63858,1545.819946,99.473145
2017-01-17,40.205936,61.471455,1540.130005,100.10006
2017-01-18,40.274212,61.441967,1541.859985,100.638809
2017-01-19,40.127899,61.24535,1539.02002,100.266579
2017-01-20,40.303471,61.677898,1545.01001,101.128578
2017-01-23,40.410767,61.894176,1554.98999,101.882835
2017-01-24,40.869205,62.444698,1563.329956,102.56852
2017-01-25,41.08379,62.601986,1578.819946,102.470558
2017-01-26,40.781418,63.181995,1581.439941,102.010178
2017-01-27,40.430279,64.666435,1602.920044,101.363686
2017-01-30,40.362,64.027435,1602.310059,101.569382
2017-01-31,40.547321,63.555569,1575.130005,101.657532
2017-02-01,40.244949,62.503681,1575.310059,100.90329
2017-02-02,40.381508,62.10062,1574.089966,101.90242
2017-02-03,40.518063,62.601986,1583.380005,102.960335
2017-02-06,40.537571,62.562668,1587.180054,102.431381
2017-02-07,40.869205,62.35622,1598.699951,103.450111
2017-02-08,40.986256,62.267746,1601.189941,103.528481
2017-02-09,40.235199,62.975552,1611.829956,103.802742
