Date,AAPL,MSFT,PCLN
2016-02-01,96.43,54.709999,1084.869995
2016-02-02,94.480003,53.0,1066.790039
2016-02-03,96.349998,52.16,1049.160034
2016-02-04,96.599998,52.0,1069.099976
2016-02-05,94.019997,50.16,1015.549988
2016-02-08,95.010002,49.41,973.799988
2016-02-09,94.989998,49.279999,991.289978
2016-02-10,94.269997,49.709999,1032.77002
2016-02-11,93.699997,49.689999,1055.23999
2016-02-12,93.989998,50.5,1058.01001
2016-02-16,96.639999,51.09,1110.680054
2016-02-17,98.120003,52.419998,1235.560059
2016-02-18,96.260002,52.189999,1251.949951
2016-02-19,96.040001,51.82,1283.73999
2016-02-22,96.879997,52.650002,1288.420044
2016-02-23,94.690002,51.18,1261.890015
2016-02-24,96.099998,51.360001,1264.209961
2016-02-25,96.760002,52.099998,1263.410034
2016-02-26,96.910004,51.299999,1254.27002
2016-02-29,96.690002,50.880001,1265.209961
2016-03-01,100.529999,52.580002,1295.920044
2016-03-02,100.75,52.950001,1301.369995
2016-03-03,101.5,52.349998,1303.040039
2016-03-04,103.010002,52.029999,1297.709961
2016-03-07,101.870003,51.029999,1291.430054
2016-03-08,101.029999,51.650002,1282.77002
2016-03-09,101.120003,52.84,1291.890015
2016-03-10,101.169998,52.049999,1293.77002
2016-03-11,102.260002,53.07,1326.869995
2016-03-14,102.519997,53.169998,1325.72998
2016-03-15,104.580002,53.59,1332.130005
2016-03-16,105.970001,54.349998,1350.98999
2016-03-17,105.800003,54.66,1346.859985
2016-03-18,105.919998,53.490002,1344.219971
2016-03-21,105.910004,53.860001,1350.51001
2016-03-22,106.720001,54.07,1319.410034
2016-03-23,106.129997,53.970001,1306.109985
2016-03-24,105.669998,54.209999,1301.189941
2016-03-28,105.190002,53.540001,1287.030029
2016-03-29,107.68,54.709999,1307.890015
2016-03-30,109.559998,55.049999,1317.030029
2016-03-31,108.989998,55.23,1288.959961
