Date,AAPL,AMZN,JPM,MSFT
2015-10-20,109.457634,560.880005,59.374538,45.401089
2015-10-21,109.448021,555.77002,58.937675,44.85936
2015-10-22,111.122078,563.909973,60.010822,45.648201
2015-10-23,114.566376,599.030029,60.656612,50.248184
2015-10-26,110.910416,608.609985,60.685108,51.55975
2015-10-27,110.208076,611.01001,60.438187,51.027523
2015-10-28,114.749161,617.099976,62.204605,51.303135
2015-10-29,115.961411,626.549988,61.929199,50.71389
2015-10-30,114.970459,625.900024,61.01749,50.029591
2015-11-02,116.586769,628.349976,62.242592,50.599834
2015-11-03,117.924095,625.309998,62.47052,51.46471
2015-11-04,117.375694,640.950012,62.537003,51.702312
2015-11-05,116.834602,655.650024,63.097313,51.683304
2015-11-06,116.969872,659.369995,65.015686,52.196522
2015-11-09,116.496429,655.48999,63.999527,51.474209
2015-11-10,112.824814,659.679993,64.274933,50.856441
2015-11-11,112.187119,673.25,63.961533,50.989502
2015-11-12,111.810295,665.599976,62.679455,50.675869
2015-11-13,108.544479,642.349976,62.261585,50.219673
2015-11-16,110.322327,647.809998,63.163795,51.103554
2015-11-17,109.848885,643.299988,62.80291,50.682556
2015-11-18,113.327248,663.539978,64.056488,51.524551
2015-11-19,114.766914,661.27002,64.255936,51.610664
2015-11-20,115.269348,668.450012,64.141975,51.849869
2015-11-23,113.771706,678.98999,63.515175,51.849869
2015-11-24,114.863525,671.150024,63.420212,51.907284
2015-11-25,114.042252,675.340027,63.496178,51.37146
2015-11-27,113.829681,673.26001,63.790596,51.601093
2015-11-30,114.303123,664.799988,63.325241,52.00296
2015-12-01,113.375557,679.059998,64.208443,52.835396
2015-12-02,112.351372,676.01001,63.306263,52.825821
2015-12-03,111.307861,666.25,62.489506,51.85944
2015-12-04,115.008461,672.640015,64.474365,53.495594
2015-12-07,114.283798,669.830017,63.629131,53.399914
2015-12-08,114.235489,677.330017,62.641464,53.380775
2015-12-09,111.713676,664.789978,62.166615,52.605755
2015-12-10,112.245087,662.320007,62.309067,52.883236
