Date,KO,MSFT,PCLN,PEP
2016-04-28,44.630001,49.900002,1317.589966,102.970001
2016-04-29,44.799999,49.869999,1343.660034,102.959999
2016-05-02,44.98,50.610001,1356.689941,103.43
2016-05-03,44.84,49.779999,1354.640015,103.559998
2016-05-04,44.98,49.869999,1253.040039,104.019997
2016-05-05,45.060001,49.939999,1240.849976,104.209999
2016-05-06,45.32,50.389999,1250.099976,104.959999
2016-05-09,45.240002,50.07,1244.920044,105.279999
2016-05-10,45.75,51.02,1268.27002,106.57
2016-05-11,45.459999,51.049999,1267.310059,105.720001
2016-05-12,45.830002,51.509998,1282.25,106.099998
2016-05-13,45.349998,51.080002,1278.640015,104.18
2016-05-16,45.619999,51.830002,1283.469971,104.129997
2016-05-17,44.75,50.509998,1278.02002,102.370003
2016-05-18,44.48,50.810001,1267.27002,100.910004
2016-05-19,44.32,50.32,1250.310059,101.330002
2016-05-20,43.950001,50.619999,1249.290039,100.099998
2016-05-23,43.970001,50.029999,1237.48999,100.419998
2016-05-24,44.369999,51.59,1256.630005,101.089996
2016-05-25,44.380001,52.119999,1270.180054,101.089996
2016-05-26,44.689999,51.889999,1269.02002,101.900002
2016-05-27,44.779999,52.32,1273.0,101.959999
2016-05-31,44.599998,53.0,1264.329956,101.169998
2016-06-01,44.700001,52.849998,1278.0,101.57
2016-06-02,44.720001,52.48,1290.0,102.0
2016-06-03,45.040001,51.790001,1301.709961,102.529999
2016-06-06,45.369999,52.130001,1349.099976,102.699997
2016-06-07,45.32,52.099998,1360.0,102.489998
2016-06-08,45.549999,52.040001,1354.829956,103.18
2016-06-09,45.759998,51.619999,1340.069946,103.660004
2016-06-10,45.990002,51.48,1318.900024,103.309998
2016-06-13,45.119999,50.139999,1315.469971,103.059998
2016-06-14,45.040001,49.830002,1304.099976,103.230003
2016-06-15,45.009998,49.689999,1305.420044,102.860001
2016-06-16,45.310001,50.389999,1323.890015,103.849998
2016-06-17,44.790001,50.130001,1309.23999,103.410004
2016-06-20,44.98,50.07,1341.959961,103.370003
2016-06-21,45.130001,51.189999,1343.050049,104.080002
2016-06-22,44.860001,50.990002,1360.099976,103.739998
2016-06-23,45.080002,51.91,1390.199951,104.440002
2016-06-24,43.93,49.830002,1232.140015,101.980003
2016-06-27,43.779999,48.43,1186.050049,102.129997
2016-06-28,44.18,49.439999,1204.25,102.139999
2016-06-29,44.439999,50.540001,1239.410034,103.120003
2016-06-30,45.330002,51.169998,1248.410034,105.940002
2016-07-01,45.119999,51.16,1267.369995,105.629997
2016-07-05,45.43,51.169998,1275.030029,106.419998
2016-07-06,45.27,51.380001,1292.040039,105.919998
2016-07-07,45.09,51.380001,1297.26001,107.489998
2016-07-08,45.380001,52.299999,1329.459961,108.269997
2016-07-11,45.57,52.59,1351.030029,108.910004
2016-07-12,45.580002,53.209999,1345.430054,108.790001
2016-07-13,45.740002,53.509998,1338.650024,109.910004
2016-07-14,45.689999,53.740002,1346.180054,109.959999
2016-07-15,45.630001,53.700001,1330.569946,109.660004
2016-07-18,45.630001,53.959999,1341.359985,109.209999
2016-07-19,45.630001,53.09,1327.0,109.529999
2016-07-20,45.509998,55.91,1352.829956,108.919998
2016-07-21,45.450001,55.799999,1332.5,108.580002
2016-07-22,45.830002,56.57,1327.400024,109.190002
2016-07-25,45.57,56.73,1321.670044,109.019997
2016-07-26,44.880001,56.759998,1324.530029,108.199997
2016-07-27,43.400002,56.189999,1324.47998,107.480003
2016-07-28,43.650002,56.209999,1326.099976,108.129997
2016-07-29,43.630001,56.68,1350.810059,108.919998
2016-08-01,43.450001,56.580002,1356.079956,108.93
2016-08-02,43.529999,56.580002,1345.380005,108.720001
