Date,AAPL,AMZN,MSFT,NFLX
2015-11-25,118.029999,675.340027,53.689999,124.160004
2015-11-27,117.809998,673.26001,53.93,125.440002
2015-11-30,118.300003,664.799988,54.349998,123.330002
2015-12-01,117.339996,679.059998,55.220001,125.370003
2015-12-02,116.279999,676.01001,55.209999,128.929993
2015-12-03,115.199997,666.25,54.200001,126.809998
2015-12-04,119.029999,672.640015,55.91,130.929993
2015-12-07,118.279999,669.830017,55.810001,125.360001
2015-12-08,118.230003,677.330017,55.790001,126.980003
2015-12-09,115.620003,664.789978,54.98,124.199997
2015-12-10,116.169998,662.320007,55.27,122.910004
2015-12-11,113.18,640.150024,54.060001,118.910004
2015-12-14,112.480003,657.909973,55.139999,120.669998
2015-12-15,110.489998,658.640015,55.200001,118.599998
2015-12-16,111.339996,675.77002,56.130001,122.639999
2015-12-17,108.980003,670.650024,55.700001,122.510002
2015-12-18,106.029999,664.140015,54.130001,118.019997
2015-12-21,107.330002,664.51001,54.830002,116.629997
2015-12-22,107.230003,663.150024,55.349998,116.239998
2015-12-23,108.610001,663.700012,55.82,118.160004
2015-12-24,108.029999,662.789978,55.669998,117.330002
2015-12-28,106.82,675.200012,55.950001,117.110001
2015-12-29,108.739998,693.969971,56.549999,119.120003
2015-12-30,107.32,689.070007,56.310001,116.709999
2015-12-31,105.260002,675.890015,55.48,114.379997
2016-01-04,105.349998,636.98999,54.799999,109.959999
2016-01-05,102.709999,633.789978,55.049999,107.660004
2016-01-06,100.699997,632.650024,54.049999,117.68
2016-01-07,96.449997,607.940002,52.169998,114.559998
2016-01-08,96.959999,607.049988,52.330002,111.389999
2016-01-11,98.529999,617.73999,52.299999,114.970001
2016-01-12,99.959999,617.890015,52.779999,116.580002
2016-01-13,97.389999,581.809998,51.639999,106.559998
2016-01-14,99.519997,593.0,53.110001,107.059998
2016-01-15,97.129997,570.179993,50.990002,104.040001
2016-01-19,96.660004,574.47998,50.560001,107.889999
2016-01-20,96.790001,571.77002,50.790001,107.739998
2016-01-21,96.300003,575.02002,50.48,102.349998
2016-01-22,101.419998,596.380005,52.290001,100.720001
2016-01-25,99.440002,596.530029,51.790001,99.120003
2016-01-26,99.989998,601.25,52.169998,97.830002
2016-01-27,93.419998,583.349976,51.220001,91.150002
2016-01-28,94.089996,635.349976,52.060001,94.410004
2016-01-29,97.339996,587.0,55.09,91.839996
2016-02-01,96.43,574.809998,54.709999,94.089996
2016-02-02,94.480003,552.099976,53.0,91.489998
2016-02-03,96.349998,531.070007,52.16,90.739998
2016-02-04,96.599998,536.26001,52.0,89.709999
2016-02-05,94.019997,502.130005,50.16,82.790001
2016-02-08,95.010002,488.100006,49.41,83.32
2016-02-09,94.989998,482.070007,49.279999,86.129997
2016-02-10,94.269997,490.480011,49.709999,88.449997
2016-02-11,93.699997,503.820007,49.689999,86.349998
2016-02-12,93.989998,507.079987,50.5,87.400002
2016-02-16,96.639999,521.099976,51.09,89.050003
2016-02-17,98.120003,534.099976,52.419998,94.760002
2016-02-18,96.260002,525.0,52.189999,90.489998
2016-02-19,96.040001,534.900024,51.82,89.230003
2016-02-22,96.879997,559.5,52.650002,91.93
2016-02-23,94.690002,552.940002,51.18,89.120003
2016-02-24,96.099998,554.039978,51.360001,91.610001
2016-02-25,96.760002,555.150024,52.099998,94.529999
2016-02-26,96.910004,555.22998,51.299999,94.790001
2016-02-29,96.690002,552.52002,50.880001,93.410004
2016-03-01,100.529999,579.039978,52.580002,98.300003
2016-03-02,100.75,580.210022,52.950001,97.610001
2016-03-03,101.5,577.48999,52.349998,97.93
2016-03-04,103.010002,575.140015,52.029999,101.580002
2016-03-07,101.870003,562.799988,51.029999,95.489998
2016-03-08,101.029999,560.26001,51.650002,96.230003
2016-03-09,101.120003,559.469971,52.84,98.0
2016-03-10,101.169998,558.929993,52.049999,97.360001
2016-03-11,102.260002,569.609985,53.07,97.660004
2016-03-14,102.519997,573.369995,53.169998,98.129997
2016-03-15,104.580002,577.02002,53.59,97.860001
2016-03-16,105.970001,574.27002,54.349998,99.349998
2016-03-17,105.800003,559.440002,54.66,99.720001
2016-03-18,105.919998,552.080017,53.490002,101.120003
2016-03-21,105.910004,553.97998,53.860001,101.059998
2016-03-22,106.720001,560.47998,54.07,99.839996
2016-03-23,106.129997,569.630005,53.970001,99.589996
2016-03-24,105.669998,582.950012,54.209999,98.360001
2016-03-28,105.190002,579.869995,53.540001,101.209999
2016-03-29,107.68,593.859985,54.709999,104.129997
2016-03-30,109.559998,598.690002,55.049999,102.190002
2016-03-31,108.989998,593.640015,55.23,102.230003
