Date,AMZN,MSFT
2016-01-05,633.789978,52.672737
2016-01-06,632.650024,51.715916
2016-01-07,607.940002,49.917099
2016-01-08,607.049988,50.070198
2016-01-11,617.73999,50.041489
2016-01-12,617.890015,50.500759
2016-01-13,581.809998,49.409988
2016-01-14,593.0,50.816513
2016-01-15,570.179993,48.788059
2016-01-19,574.47998,48.376629
2016-01-20,571.77002,48.596699
2016-01-21,575.02002,48.300083
2016-01-22,596.380005,50.031921
2016-01-25,596.530029,49.553509
2016-01-26,601.25,49.917099
2016-01-27,583.349976,49.008129
2016-01-28,635.349976,49.811855
2016-01-29,587.0,52.711006
2016-02-01,574.809998,52.347412
2016-02-02,552.099976,50.711258
2016-02-03,531.070007,49.907536
2016-02-04,536.26001,49.754448
2016-02-05,502.130005,47.993904
2016-02-08,488.100006,47.276287
2016-02-09,482.070007,47.151901
2016-02-10,490.480011,47.563332
2016-02-11,503.820007,47.544201
2016-02-12,507.079987,48.319218
2016-02-16,521.099976,49.234718
2016-02-17,534.099976,50.516418
2016-02-18,525.0,50.294781
2016-02-19,534.900024,49.938213
2016-02-22,559.5,50.738071
2016-02-23,552.940002,49.321453
2016-02-24,554.039978,49.494919
2016-02-25,555.150024,50.208042
2016-02-26,555.22998,49.437096
2016-02-29,552.52002,49.032349
2016-03-01,579.039978,50.670616
2016-03-02,580.210022,51.027176
2016-03-03,577.48999,50.448967
2016-03-04,575.140015,50.140583
2016-03-07,562.799988,49.176895
2016-03-08,560.26001,49.774391
2016-03-09,559.469971,50.921169
2016-03-10,558.929993,50.159859
2016-03-11,569.609985,51.142818
2016-03-14,573.369995,51.239185
2016-03-15,577.02002,51.643936
2016-03-16,574.27002,52.376339
2016-03-17,559.440002,52.675079
2016-03-18,552.080017,51.547573
2016-03-21,553.97998,51.904137
2016-03-22,560.47998,52.106506
2016-03-23,569.630005,52.010139
2016-03-24,582.950012,52.241425
2016-03-28,579.869995,51.595753
2016-03-29,593.859985,52.723263
2016-03-30,598.690002,53.050919
2016-03-31,593.640015,53.224377
