Date,AAPL,AMZN,GOOG,MSFT
2007-02-06,12.021428,38.27,234.216644,29.51
2007-02-07,12.307143,38.98,233.486389,29.370001
2007-02-08,12.311429,39.099998,233.993103,29.26
2007-02-09,11.895715,38.720001,229.452637,28.98
2007-02-12,12.125714,38.849998,227.664261,28.940001
2007-02-13,12.1,39.310001,228.06665,29.01
2007-02-14,12.185715,40.139999,231.459579,29.4
2007-02-15,12.172857,40.060001,229.243988,29.459999
2007-02-16,12.118571,40.330002,233.45163,28.74
2007-02-20,12.271428,41.509998,234.524643,28.83
2007-02-21,12.742857,41.259998,236.392502,29.35
2007-02-22,12.787143,41.0,236.387527,29.389999
2007-02-23,12.724286,40.779999,233.789429,28.9
2007-02-26,12.644286,40.880001,230.962814,29.07
2007-02-27,11.99,38.830002,222.935028,27.870001
2007-02-28,12.087143,39.139999,223.272827,28.17
2007-03-01,12.437143,38.849998,222.666763,28.09
2007-03-02,12.201428,37.689999,217.922623,27.76
2007-03-05,12.331429,37.049999,219.050293,27.549999
2007-03-06,12.598572,38.580002,227.296661,27.83
2007-03-07,12.531428,38.360001,226.347824,27.610001
2007-03-08,12.571428,38.099998,225.890793,27.32
2007-03-09,12.567142,38.84,225.016479,27.290001
2007-03-12,12.838572,38.810001,225.905701,27.440001
2007-03-13,12.628572,37.82,220.083572,26.719999
2007-03-14,12.857142,38.080002,222.552505,27.4
2007-03-15,12.795714,37.779999,221.653366,27.280001
2007-03-16,12.798572,37.849998,219.00061,27.33
2007-03-19,13.018572,38.450001,222.169998,27.83
2007-03-20,13.068571,38.580002,221.201294,27.84
2007-03-21,13.41,39.799999,226.799881,28.52
2007-03-22,13.422857,39.490002,229.527145,28.27
2007-03-23,13.36,38.98,229.422821,28.02
2007-03-26,13.692857,39.009998,230.997589,28.219999
2007-03-27,13.637143,39.369999,230.312042,27.719999
2007-03-28,13.32,39.34,229.447662,27.639999
2007-03-29,13.392858,39.810001,228.970764,27.75
2007-03-30,13.272857,39.790001,227.599686,27.870001
2007-04-02,13.378572,40.419998,227.783493,27.74
2007-04-03,13.5,41.189999,234.773026,27.870001
2007-04-04,13.467143,41.529999,233.988129,28.5
2007-04-05,13.525714,41.68,234.231552,28.549999
2007-04-09,13.378572,41.66,232.592209,28.57
2007-04-10,13.464286,41.860001,231.742737,28.4
2007-04-11,13.227143,41.68,230.764099,28.110001
2007-04-12,13.17,42.27,232.18486,28.540001
2007-04-13,12.891429,42.41,231.638412,28.610001
2007-04-16,13.061429,45.200001,235.602631,28.73
2007-04-17,12.907143,45.07,234.872375,28.85
2007-04-18,12.914286,44.990002,236.46701,28.6
2007-04-19,12.895715,44.639999,234.301102,28.690001
2007-04-20,12.995714,44.950001,239.681107,29.02
2007-04-23,13.358571,44.77,237.992096,28.780001
2007-04-24,13.32,44.75,237.222092,28.790001
2007-04-25,13.621428,56.810001,237.450607,28.99
2007-04-26,14.12,62.779999,239.035309,29.1
2007-04-27,14.274285,62.599998,237.957321,30.120001
2007-04-30,14.257143,61.330002,234.166977,29.940001
2007-05-01,14.21,62.040001,232.984665,30.4
2007-05-02,14.341429,61.18,231.385056,30.610001
2007-05-03,14.342857,62.189999,235.085999,30.969999
2007-05-04,14.401428,63.23,234.037811,30.559999
2007-05-07,14.845715,60.82,232.125244,30.709999
2007-05-08,15.008572,61.830002,231.896729,30.75
2007-05-09,15.268572,62.849998,233.108856,30.780001
2007-05-10,15.334286,60.919998,229.243988,30.58
2007-05-11,15.534286,61.560001,231.861969,30.889999
2007-05-14,15.622857,61.700001,229.39798,30.969999
2007-05-15,15.36,60.580002,227.520203,30.9
2007-05-16,15.334286,63.220001,234.778,31.07
2007-05-17,15.634286,62.169998,233.958328,30.98
2007-05-18,15.717143,63.299999,233.640396,30.83
2007-05-21,15.997143,68.300003,233.779495,31.049999
2007-05-22,16.219999,68.879997,236.392502,30.690001
2007-05-23,16.127142,69.0,235.453598,30.58
2007-05-24,15.812857,69.349998,235.632431,30.17
2007-05-25,16.231428,68.550003,240.197739,30.48
2007-05-29,16.335714,69.629997,241.98114,30.790001
2007-05-30,16.967142,69.860001,247.689026,31.110001
2007-05-31,17.312857,69.139999,247.346252,30.690001
2007-06-01,16.914286,68.580002,248.583206,30.59
2007-06-04,17.332857,70.419998,251.896652,30.719999
2007-06-05,17.524286,73.650002,257.743622,30.58
2007-06-06,17.662857,72.290001,257.450531,30.290001
2007-06-07,17.724285,72.040001,255.865845,29.620001
2007-06-08,17.784286,73.239998,256.079437,30.049999
2007-06-11,17.17,71.169998,254.017853,30.02
2007-06-12,17.197144,70.07,250.754089,29.85
2007-06-13,16.785715,70.889999,250.987564,30.389999
2007-06-14,16.964285,71.940002,249.795319,30.52
2007-06-15,17.214285,72.400002,251.310471,30.49
2007-06-18,17.870001,71.830002,255.935394,30.51
2007-06-19,17.665714,69.809998,255.493256,30.459999
2007-06-20,17.364286,69.099998,253.33728,30.01
2007-06-21,17.700001,69.669998,255.393906,30.219999
2007-06-22,17.571428,68.860001,260.793793,29.49
2007-06-25,17.477142,68.660004,262.00589,29.49
2007-06-26,17.092857,67.480003,263.416718,29.52
