Date,AAPL,AMZN,GOOG,MSFT
2006-09-11,9.317867,30.790001,190.804001,19.959484
2006-09-12,9.334575,31.719999,194.683777,19.974894
2006-09-13,9.536354,31.67,201.971375,20.013412
2006-09-14,9.5325,31.65,200.684738,20.283028
2006-09-15,9.523502,32.52,203.615677,20.683605
2006-09-18,9.496513,32.080002,206.005142,20.637388
2006-09-19,9.481091,31.58,200.600296,20.691299
2006-09-20,9.672589,32.119999,197.217285,20.937819
2006-09-21,9.594189,30.219999,202.110474,20.722116
2006-09-22,9.382127,30.84,200.585388,20.537241
2006-09-25,9.735563,31.790001,200.684738,20.760635
2006-09-26,9.974614,32.5,202.120407,20.953224
2006-09-27,9.820386,32.330002,200.158157,21.138109
2006-09-28,9.897501,31.84,200.486038,21.107294
2006-09-29,9.893647,32.119999,199.651459,21.068773
2006-10-02,9.62118,30.870001,199.422943,21.076475
2006-10-03,9.520932,31.700001,200.714539,21.084181
2006-10-04,9.68801,32.759998,206.506866,21.523273
2006-10-05,9.617326,33.32,204.574448,21.507868
2006-10-06,9.538924,32.59,208.891357,21.469353
2006-10-09,9.591618,33.380001,213.113907,21.353792
2006-10-10,9.486228,32.619999,211.946487,21.330692
2006-10-11,9.411687,32.91,211.871979,21.215143
2006-10-12,9.672589,33.549999,212.338943,21.738966
2006-10-13,9.641742,33.32,212.269394,21.854513
2006-10-16,9.69058,32.599998,209.512329,21.916149
2006-10-17,9.54792,32.470001,208.960907,21.90844
2006-10-18,9.578765,32.310001,208.300201,21.970072
2006-10-19,10.151979,32.540001,211.653397,21.792892
2006-10-20,10.275355,32.57,228.349808,21.900743
2006-10-23,10.469425,32.880001,238.836594,21.916149
2006-10-24,10.416731,33.630001,235.125732,21.785191
2006-10-25,10.4977,37.68,241.727798,21.808302
2006-10-26,10.563248,38.299999,240.982635,21.839115
2006-10-27,10.334476,38.240002,236.064621,21.831408
2006-10-30,10.33576,38.150002,236.745193,21.977774
2006-10-31,10.420588,38.09,236.655777,22.116436
2006-11-01,10.173827,37.560001,232.239502,22.193466
2006-11-02,10.15069,37.450001,233.436722,22.162653
2006-11-03,10.062012,37.459999,234.37561,22.13184
2006-11-06,10.244513,38.209999,236.933975,22.216583
2006-11-07,10.347329,38.77,234.758118,22.301319
2006-11-08,10.596662,39.470001,235.965271,22.324427
2006-11-09,10.711047,38.84,234.787933,22.540123
2006-11-10,10.682772,39.259998,235.244965,22.524708
2006-11-13,10.840854,39.990002,238.960785,22.609451
2006-11-14,10.924394,41.509998,243.069077,22.593992
2006-11-15,10.802297,42.599998,244.37558,22.508963
2006-11-16,11.002795,42.84,246.347748,22.779505
2006-11-17,11.033639,42.549999,247.783401,22.725395
2006-11-20,11.113322,42.439999,245.925491,23.104155
2006-11-21,11.387076,42.540001,253.178314,23.127342
2006-11-22,11.606848,42.959999,252.363617,23.127342
2006-11-24,11.776498,42.41,250.868347,23.003664
2006-11-27,11.507885,40.849998,240.808777,22.787237
2006-11-28,11.799632,40.919998,243.168427,22.717672
2006-11-29,11.798347,40.630001,240.759094,22.856802
2006-11-30,11.780354,40.34,240.838577,22.694489
2006-12-01,11.736657,39.41,238.846527,22.508963
2006-12-04,11.710953,39.099998,240.858444,22.671289
2006-12-05,11.730229,38.98,241.926498,22.516697
2006-12-06,11.545157,38.900002,242.77597,22.408476
2006-12-07,11.186579,38.119999,239.76059,22.300261
2006-12-08,11.343379,38.459999,240.490845,22.725395
2006-12-11,11.406352,38.689999,240.401413,22.833614
2006-12-12,11.070912,38.459999,239.333374,22.748587
2006-12-13,11.444911,38.5,237.947388,22.841341
2006-12-14,11.380651,39.02,239.502274,23.243286
2006-12-15,11.273974,40.009998,238.598145,23.336044
2006-12-18,10.984798,39.259998,229.904694,23.104155
2006-12-19,11.092759,39.419998,232.800858,23.181452
2006-12-20,10.893549,40.009998,229.954361,23.258745
2006-12-21,10.6545,39.889999,226.626022,23.173723
2006-12-22,10.564532,40.240002,226.318024,22.910908
2006-12-26,10.475853,39.799999,227.286713,23.181452
2006-12-27,10.477139,40.290001,232.502792,23.204641
2006-12-28,10.393598,40.209999,229.785461,23.173723
2006-12-29,10.903831,39.459999,228.752182,23.080967
2007-01-03,10.770167,38.700001,232.28421,23.080967
2007-01-04,11.00922,38.900002,240.068588,23.042315
2007-01-05,10.930819,38.369999,242.020889,22.910908
2007-01-08,10.984798,37.5,240.227554,23.135077
2007-01-09,11.897308,37.779999,241.181351,23.15826
2007-01-10,12.466661,37.150002,243.14856,22.926367
2007-01-11,12.312438,37.400002,248.245407,23.730261
2007-01-12,12.16078,38.200001,250.868347,24.124472
2007-01-16,12.479513,38.66,250.510666,24.085823
2007-01-17,12.203192,37.880001,247.033279,24.039452
2007-01-18,11.447481,36.98,242.338821,23.962154
2007-01-19,11.374224,37.02,243.292618,24.047186
2007-01-22,11.15445,36.950001,238.866409,23.74572
2007-01-23,11.014361,36.43,237.977188,23.761185
2007-01-24,11.142883,37.259998,247.922501,24.031719
2007-01-25,11.085048,37.080002,242.467987,23.537022
2007-01-26,10.973231,36.849998,246.317932,23.652969
2007-01-29,11.045205,37.43,244.643829,23.59886
2007-01-30,10.995083,37.049999,245.562851,23.560207
2007-01-31,11.018215,37.669998,249.129654,23.853937
2007-02-01,10.890979,38.700001,239.318466,23.622046
2007-02-02,10.892266,37.389999,239.194275,23.336044
2007-02-05,10.78816,37.16,232.070602,22.88772
2007-02-06,10.815148,38.27,234.216644,22.810425
2007-02-07,11.072194,38.98,233.486389,22.702208
2007-02-08,11.076049,39.099998,233.993103,22.617182
2007-02-09,10.702053,38.720001,229.452637,22.400757
2007-02-12,10.908974,38.849998,227.664261,22.369835
2007-02-13,10.885842,39.310001,228.06665,22.501692
2007-02-14,10.962953,40.139999,231.459579,22.804195
2007-02-15,10.951384,40.060001,229.243988,22.850733
2007-02-16,10.902546,40.330002,233.45163,22.292267
2007-02-20,11.040065,41.509998,234.524643,22.36208
2007-02-21,11.46419,41.259998,236.392502,22.765415
2007-02-22,11.504031,41.0,236.387527,22.796438
2007-02-23,11.447481,40.779999,233.789429,22.416372
2007-02-26,11.375507,40.880001,230.962814,22.548227
2007-02-27,10.786877,38.830002,222.935028,21.617455
2007-02-28,10.874274,39.139999,223.272827,21.850143
2007-03-01,11.189151,38.849998,222.666763,21.788092
2007-03-02,10.977087,37.689999,217.922623,21.532124
2007-03-05,11.094046,37.049999,219.050293,21.369234
2007-03-06,11.334381,38.580002,227.296661,21.586416
2007-03-07,11.273974,38.360001,226.347824,21.415779
2007-03-08,11.309962,38.099998,225.890793,21.19084
2007-03-09,11.306105,38.84,225.016479,21.167574
2007-03-12,11.550298,38.810001,225.905701,21.283918
2007-03-13,11.36137,37.82,220.083572,20.725443
