Date,AAPL,AMZN,JPM,MSFT
2015-08-31,112.760002,512.890015,64.099998,43.52
2015-09-01,107.720001,496.540009,61.450001,41.82
2015-09-02,112.339996,510.549988,62.57,43.360001
2015-09-03,110.370003,504.720001,62.68,43.5
2015-09-04,109.269997,499.0,61.5,42.610001
2015-09-08,112.309998,517.539978,63.16,43.889999
2015-09-09,110.150002,516.890015,62.18,43.07
2015-09-10,112.57,522.23999,62.66,43.290001
2015-09-11,114.209999,529.440002,62.560001,43.48
2015-09-14,115.309998,521.380005,62.380001,43.040001
2015-09-15,116.279999,522.369995,63.580002,43.98
2015-09-16,116.410004,527.390015,64.139999,44.299999
2015-09-17,113.919998,538.869995,62.650002,44.25
2015-09-18,113.449997,540.26001,60.939999,43.48
2015-09-21,115.209999,548.390015,61.450001,44.110001
2015-09-22,113.400002,538.400024,60.91,43.900002
2015-09-23,114.32,536.070007,60.639999,43.869999
2015-09-24,115.0,533.75,60.220001,43.91
2015-09-25,114.709999,524.25,61.470001,43.939999
2015-09-28,112.440002,504.059998,59.98,43.290001
2015-09-29,109.059998,496.070007,59.84,43.439999
2015-09-30,110.300003,511.890015,60.970001,44.259998
2015-10-01,109.580002,520.719971,61.419998,44.610001
2015-10-02,110.379997,532.539978,60.810001,45.57
2015-10-05,110.779999,543.679993,62.02,46.630001
2015-10-06,111.309998,537.47998,62.049999,46.75
2015-10-07,110.779999,541.940002,62.130001,46.799999
2015-10-08,109.5,533.159973,62.130001,47.450001
2015-10-09,112.120003,539.799988,61.93,47.110001
2015-10-12,111.599998,550.190002,61.720001,47.0
2015-10-13,111.790001,548.900024,61.549999,46.889999
2015-10-14,110.209999,544.830017,59.990002,46.68
2015-10-15,111.860001,562.440002,61.889999,47.009998
2015-10-16,111.040001,570.76001,62.43,47.509998
2015-10-19,111.730003,573.150024,62.220001,47.619999
2015-10-20,113.769997,560.880005,62.52,47.77
2015-10-21,113.760002,555.77002,62.060001,47.200001
2015-10-22,115.5,563.909973,63.189999,48.029999
2015-10-23,119.080002,599.030029,63.869999,52.869999
2015-10-26,115.279999,608.609985,63.900002,54.25
2015-10-27,114.550003,611.01001,63.639999,53.689999
2015-10-28,119.269997,617.099976,65.5,53.98
2015-10-29,120.529999,626.549988,65.209999,53.360001
2015-10-30,119.5,625.900024,64.25,52.639999
2015-11-02,121.18,628.349976,65.540001,53.240002
2015-11-03,122.57,625.309998,65.779999,54.150002
2015-11-04,122.0,640.950012,65.849998,54.400002
2015-11-05,120.919998,655.650024,66.440002,54.380001
2015-11-06,121.059998,659.369995,68.459999,54.919998
2015-11-09,120.57,655.48999,67.389999,54.16
2015-11-10,116.769997,659.679993,67.68,53.509998
2015-11-11,116.110001,673.25,67.349998,53.650002
2015-11-12,115.720001,665.599976,66.0,53.32
2015-11-13,112.339996,642.349976,65.559998,52.84
2015-11-16,114.18,647.809998,66.510002,53.77
2015-11-17,113.690002,643.299988,66.129997,52.970001
2015-11-18,117.290001,663.539978,67.449997,53.849998
2015-11-19,118.779999,661.27002,67.660004,53.939999
2015-11-20,119.300003,668.450012,67.540001,54.189999
2015-11-23,117.75,678.98999,66.879997,54.189999
2015-11-24,118.879997,671.150024,66.779999,54.25
2015-11-25,118.029999,675.340027,66.860001,53.689999
2015-11-27,117.809998,673.26001,67.169998,53.93
2015-11-30,118.300003,664.799988,66.68,54.349998
2015-12-01,117.339996,679.059998,67.610001,55.220001
2015-12-02,116.279999,676.01001,66.660004,55.209999
2015-12-03,115.199997,666.25,65.800003,54.200001
2015-12-04,119.029999,672.640015,67.889999,55.91
2015-12-07,118.279999,669.830017,67.0,55.810001
2015-12-08,118.230003,677.330017,65.959999,55.790001
2015-12-09,115.620003,664.789978,65.459999,54.98
2015-12-10,116.169998,662.320007,65.610001,55.27
2015-12-11,113.18,640.150024,64.07,54.060001
2015-12-14,112.480003,657.909973,64.269997,55.139999
2015-12-15,110.489998,658.640015,66.099998,55.200001
2015-12-16,111.339996,675.77002,67.529999,56.130001
2015-12-17,108.980003,670.650024,66.279999,55.700001
2015-12-18,106.029999,664.140015,64.400002,54.130001
2015-12-21,107.330002,664.51001,65.540001,54.830002
2015-12-22,107.230003,663.150024,65.68,55.349998
2015-12-23,108.610001,663.700012,66.730003,55.82
2015-12-24,108.029999,662.789978,66.599998,55.669998
2015-12-28,106.82,675.200012,66.379997,55.950001
2015-12-29,108.739998,693.969971,67.07,56.549999
2015-12-30,107.32,689.070007,66.589996,56.310001
2015-12-31,105.260002,675.890015,66.029999,55.48
2016-01-04,105.349998,636.98999,63.619999,54.799999
2016-01-05,102.709999,633.789978,63.73,55.049999
2016-01-06,100.699997,632.650024,62.810001,54.049999
2016-01-07,96.449997,607.940002,60.27,52.169998
2016-01-08,96.959999,607.049988,58.919998,52.330002
2016-01-11,98.529999,617.73999,58.830002,52.299999
2016-01-12,99.959999,617.890015,58.959999,52.779999
2016-01-13,97.389999,581.809998,57.34,51.639999
2016-01-14,99.519997,593.0,58.200001,53.110001
2016-01-15,97.129997,570.179993,57.040001,50.990002
2016-01-19,96.660004,574.47998,57.009998,50.560001
2016-01-20,96.790001,571.77002,55.509998,50.790001
2016-01-21,96.300003,575.02002,55.25,50.48
2016-01-22,101.419998,596.380005,56.950001,52.290001
2016-01-25,99.440002,596.530029,55.66,51.790001
2016-01-26,99.989998,601.25,57.080002,52.169998
2016-01-27,93.419998,583.349976,57.040001,51.220001
2016-01-28,94.089996,635.349976,57.279999,52.060001
2016-01-29,97.339996,587.0,59.5,55.09
2016-02-01,96.43,574.809998,58.860001,54.709999
2016-02-02,94.480003,552.099976,57.029999,53.0
2016-02-03,96.349998,531.070007,57.41,52.16
2016-02-04,96.599998,536.26001,58.400002,52.0
2016-02-05,94.019997,502.130005,57.75,50.16
2016-02-08,95.010002,488.100006,56.540001,49.41
2016-02-09,94.989998,482.070007,56.200001,49.279999
2016-02-10,94.269997,490.480011,55.52,49.709999
2016-02-11,93.699997,503.820007,53.07,49.689999
2016-02-12,93.989998,507.079987,57.490002,50.5
2016-02-16,96.639999,521.099976,58.349998,51.09
2016-02-17,98.120003,534.099976,58.77,52.419998
2016-02-18,96.260002,525.0,57.810001,52.189999
2016-02-19,96.040001,534.900024,57.82,51.82
2016-02-22,96.879997,559.5,58.57,52.650002
2016-02-23,94.690002,552.940002,56.119999,51.18
2016-02-24,96.099998,554.039978,56.139999,51.360001
2016-02-25,96.760002,555.150024,57.009998,52.099998
2016-02-26,96.910004,555.22998,57.540001,51.299999
2016-02-29,96.690002,552.52002,56.299999,50.880001
2016-03-01,100.529999,579.039978,59.200001,52.580002
2016-03-02,100.75,580.210022,59.759998,52.950001
2016-03-03,101.5,577.48999,59.959999,52.349998
2016-03-04,103.010002,575.140015,60.049999,52.029999
2016-03-07,101.870003,562.799988,59.939999,51.029999
2016-03-08,101.029999,560.26001,58.779999,51.650002
2016-03-09,101.120003,559.469971,59.119999,52.84
2016-03-10,101.169998,558.929993,58.610001,52.049999
2016-03-11,102.260002,569.609985,59.34,53.07
2016-03-14,102.519997,573.369995,59.119999,53.169998
2016-03-15,104.580002,577.02002,59.200001,53.59
2016-03-16,105.970001,574.27002,58.919998,54.349998
2016-03-17,105.800003,559.440002,58.75,54.66
2016-03-18,105.919998,552.080017,60.48,53.490002
2016-03-21,105.910004,553.97998,60.459999,53.860001
2016-03-22,106.720001,560.47998,60.240002,54.07
2016-03-23,106.129997,569.630005,59.939999,53.970001
2016-03-24,105.669998,582.950012,59.48,54.209999
2016-03-28,105.190002,579.869995,59.400002,53.540001
2016-03-29,107.68,593.859985,59.029999,54.709999
2016-03-30,109.559998,598.690002,59.709999,55.049999
2016-03-31,108.989998,593.640015,59.220001,55.23
